YouTube Playlist Export,,,,,,,,,,
Published Date,Video URL,Channel,Title,Description,,,,,,
8/4/20 12:24,https://www.youtube.com/watch?v=yR-GXnXw2wU,PowerfulJRE,Joe Rogan Experience #1519 - Mike Baker,"Mike Baker is a former CIA covert operations officer. Currently he is the president of Diligence LLC, a global intelligence and security firm. His new show ""Black Files Declassified"" is now available on the Science Channel.",,,,,,
8/5/20 12:02,https://www.youtube.com/watch?v=j9NeQTkJjIs,PowerfulJRE,Joe Rogan Experience #1520 - Dr. Debra Soh,"Dr. Debra Soh is a former sex researcher, neuroscientist, columnist, and podcast host. Her new book The End of Gender: Debunking the Myths about Sex and Identity in Our Society is now available.",,,,,,
8/6/20 12:01,https://www.youtube.com/watch?v=Trh7YWo2Bmo,PowerfulJRE,Joe Rogan Experience #1521 - Josh Dubin & Jason Flom,"Josh Dubin is an Innocence Project Ambassador Advisor &  President of Dubin Research and Consulting, Inc. He also hosts a podcast called ""Wrongful Conviction: Junk Science"" available on Apple Podcasts and Spotify. https://apple.co/2Q5EtHd Jason Flom is an Innocence Project Board Member, CEO of Lava Media, and host of the ""Wrongful Conviction with Jason Flom"" podcast available on Apple Podcasts and Spotify. https://apple.co/2EJxrF3 https://www.innocenceproject.org/ https://famm.org/ https://www.first72plus.org/",,,,,,
8/7/20 8:24,https://www.youtube.com/watch?v=pw8dkF-jotk,PowerfulJRE,Joe Rogan Experience #1522 - Rob Lowe,"Rob Lowe is an actor, producer, and director. His new podcast ""Literally! with Rob Lowe"" is now available on Apple Podcasts.",,,,,,
8/12/20 12:24,https://www.youtube.com/watch?v=INSy7D2LBfU,PowerfulJRE,Joe Rogan Experience #1523 - Joey Diaz & Brian Redban,Joey “CoCo” Diaz is a Cuban-American stand up comedian and actor. Joey also hosts his own podcast called “The Church of What’s Happening Now.” @Joey Diaz Brian Redban is a comedian and the founder of the Deathsquad podcast network. Also look for him on “Kill Tony” available on Apple Podcasts & YouTube. @redban @Kill Tony,,,,,,
8/13/20 12:30,https://www.youtube.com/watch?v=PjLW5irADoM,PowerfulJRE,Joe Rogan Experience #1524 - Ron Funches,"Ron Funches is a comedian, actor and writer. His podcast ""Gettin' Better"" is available on Apple Podcasts & Spotify. On September 5 , his live stand up event ""Awakening"" will be streaming on YouTube and tickets are now available here: eventbrite.com/e/ron-funches-awakening-tickets-113410704470 @Ron Funches",,,,,,
8/14/20 12:00,https://www.youtube.com/watch?v=h9XzuUXj6Gc,PowerfulJRE,Joe Rogan Experience #1525 - Tim Dillon,"Tim Dillon is a comedian, tour guide, and host. His podcast “The Tim Dillon Show” is available on YouTube & Apple Podcasts. @The Tim Dillon Show",,,,,,
8/15/20 13:55,https://www.youtube.com/watch?v=7eRR7j1OCOs,PowerfulJRE,Joe Rogan Experience #1526 - Ali Macofsky,"Ali Macofsky is an actress, writer, and standup comedian. Checkout her podcast ""Resting Bitch"" available on Apple Podcasts. @Ali Macofsky",,,,,,
8/18/20 11:31,https://www.youtube.com/watch?v=NY3Zg37nIHo,PowerfulJRE,Joe Rogan Experience #1527 - David Blaine,"David Blaine is an illusionist, endurance artist, and extreme performer. He is best known for his high-profile feats of endurance and has set and broken several world records. His new special ""Ascension"" premieres on YouTube live on August 31. @David Blaine https://www.youtube.com/watch?v=QwzvNAAqH3g",,,,,,
8/20/20 11:53,https://www.youtube.com/watch?v=KUCkrZKslr4,PowerfulJRE,Joe Rogan Experience #1528 - Nikki Glaser,"Nikki Glaser is an American stand-up comedian, podcast host, and television host. Look for her podcast ""You Up with Nikki Glaser"" available on Apple Podcasts. @You Up with Nikki Glaser",,,,,,
8/21/20 12:10,https://www.youtube.com/watch?v=mCgX3vS0h1E,,Private video,This video is private.,,,,,,
8/21/20 15:00,https://www.youtube.com/watch?v=5UXpbbX9-Wo,PowerfulJRE,Joe Rogan Experience #1529 - Whitney Cummings & Annie Lederman,"Whitney Cummings is a stand up comedian, actress, writer, and producer. Check out her new podcast “Good For You” on Apple Podcasts & Spotify. @Whitney Cummings Annie Lederman is a stand up comedian. She is also the host of “MEANSPIRATION” podcast on All Things Comedy. @Annie Lederman",,,,,,
8/31/20 16:58,https://www.youtube.com/watch?v=8xRz8ra9mdI,PowerfulJRE,Joe Rogan Experience #1530 - Duncan Trussell,"Duncan Trussell is a stand-up comedian, and host of his own podcast “The Duncan Trussell Family Hour”. His new show “The Midnight Gospel” is now streaming only on Netflix. @Duncan Trussell",,,,,,
9/2/20 10:20,https://www.youtube.com/watch?v=D7WUMXKV-FE,PowerfulJRE,Joe Rogan Experience #1531 - Miley Cyrus,"Miley Cyrus is a singer-songwriter, actress, and record producer. http://mileyl.ink/midnightsky",,,,,,
9/4/20 9:36,https://www.youtube.com/watch?v=hcPUoxTvw5g,PowerfulJRE,Joe Rogan Experience #1532 - Mike Tyson,Mike Tyson is the former undisputed heavyweight boxing champion of the world. Check out his new podcast called “Hotboxin’ with Mike Tyson” on Spotify. www.TysonOnTriller.com @Mike Tyson,,,,,,
9/8/20 14:36,https://www.youtube.com/watch?v=fTPQ9KR5j8k,PowerfulJRE,Joe Rogan Experience #1533 - Adam Curry,"Adam Curry is a podcaster, announcer, internet entrepreneur and media personality, known for his stint as VJ on MTV and being one of the first celebrities personally to create and administer Web sites. Check out his podcast “No Agenda” with new shows available every Sunday and Thursday on Spotify. http://www.noagendashow.com/",,,,,,
9/9/20 11:10,https://www.youtube.com/watch?v=1mgN8r1mwvM,PowerfulJRE,Joe Rogan Experience #1534 - Ron White,"Ron White is a stand up comedian and actor, best known as a charter member of the Blue Collar Comedy Tour. His special “If You Quit Listening, I’ll Shut Up” is now streaming on Netflix.",,,,,,
9/11/20 13:08,https://www.youtube.com/watch?v=TDKYSLDq6es,PowerfulJRE,Joe Rogan Experience #1535 - Tim Kennedy,"Special Forces operator and retired UFC fighter Tim Kennedy is the founder of Sheepdog Response, a training program aimed at giving law enforcement, military, and others the tools they need to quickly and effectively respond to violent threats.",,,,,,
9/15/20 8:30,https://www.youtube.com/watch?v=_Rl82OQDoOc,PowerfulJRE,Joe Rogan Experience #1536 - Edward Snowden,"Former CIA contractor turned whistleblower Edward Snowden shocked the world when he revealed the misdeeds of the US intelligence community and its allies. Now living in Russia, he is a noted privacy advocate and author who serves as president of the Freedom of the Press Foundation. His book, Permanent Record, is now available in paperback from Henry Holt and Company.",,,,,,
9/17/20 11:04,https://www.youtube.com/watch?v=t7uqHosIj4s,PowerfulJRE,Joe Rogan Experience #1538 - Douglas Murray,"Writer, journalist, and political commentator Douglas Murray is the author of The Madness of Crowds: Gender, Race and Identity, now available in a newly expanded paperback edition from Bloomsbury Publishing. Also look for The Strange Death of Europe available everywhere.",,,,,,
9/17/20 11:05,https://www.youtube.com/watch?v=9iOGfAAticY,PowerfulJRE,Joe Rogan Experience #1537 - Lex Fridman,"Scientist Lex Fridman researches human-centered artificial intelligence and autonomous vehicles at MIT, and studies Brazilian Jiu-Jitsu in his spare time. Check out his podcast “Lex Fridman Podcast”, available now on Apple Podcast and YouTube. @Lex Fridman",,,,,,
9/22/20 15:21,https://www.youtube.com/watch?v=EED-LEWOCv0,PowerfulJRE,Joe Rogan Experience #1539 - Jenny Kleeman,"Award-winning documentarian and journalist Jenny Kleeman has reported for HBO’s Vice News Tonight, and BBC’s Unreported World. She is the author of Sex Robots & Vegan Meat: Adventures at the Frontier of Birth, Food, Sex & Death, available now from Pan MacMillan.",,,,,,
