1000000001	56	0	0	55	0	0	1
1000000002	33	0	0	48	0	0	1
1000000003	56	0	1	48	0	0	1
1000000004	29	0	0	48	0	0	1
1000000005	28	1	1	47	0	0	1
1000000006	54	1	1	47	0	0	1
1000000007	25	0	1	47	0	0	1
1000000008	28	0	0	45	0	0	1
1000000009	37	0	0	42	0	0	1
1000000010	60	1	1	42	0	0	1
1000000011	58	1	0	41	0	0	1
1000000012	28	0	0	40	0	0	1
1000000013	82	0	1	31	0	0	1
1000000014	68	1	1	31	0	0	1
1000000015	77	0	0	28	0	1	0
1000000016	75	0	1	28	0	0	1
1000000017	76	0	1	27	0	0	1
1000000018	20	0	0	27	0	1	0
1000000019	79	1	1	27	0	0	1
1000000020	76	1	1	27	0	1	0
1000000021	84	0	1	27	0	0	1
1000000022	35	0	0	26	0	1	0
1000000023	59	0	0	26	0	1	0
1000000024	40	0	0	25	0	0	1
1000000025	62	0	1	25	0	1	0
1000000026	34	0	0	25	0	0	1
1000000027	52	0	0	24	0	0	1
1000000028	70	1	0	24	0	0	1
1000000029	25	1	1	21	0	0	1
1000000030	66	0	0	24	0	0	1
1000000031	55	0	0	25	0	0	1
1000000032	58	0	0	24	0	1	0
1000000033	50	1	1	23	0	0	1
1000000034	20	0	1	23	0	0	1
1000000035	36	0	0	22	0	1	0
1000000036	57	1	0	22	0	1	0
1000000037	44	1	1	22	0	0	1
1000000038	67	0	0	22	0	1	0
1000000039	75	1	0	22	0	0	1
1000000040	60	1	1	22	0	0	1
1000000041	52	0	0	22	0	0	1
1000000042	43	0	0	21	0	1	0
1000000043	25	1	0	21	0	0	1
1000000044	62	0	0	21	0	1	0
1000000045	41	0	1	21	0	0	1
1000000046	21	1	1	21	0	0	1
1000000047	27	0	0	21	0	0	1
1000000048	25	1	0	21	0	0	1
1000000049	64	0	0	21	0	1	0
1000000050	26	0	0	20	0	1	0
1000000051	28	1	0	20	0	0	1
1000000052	36	0	0	20	0	0	1
1000000053	47	1	1	20	0	0	1
1000000054	83	1	0	20	0	1	0
1000000055	27	1	0	20	0	0	1
1000000056	58	0	0	20	0	0	1
1000000057	74	1	0	20	0	0	1
1000000058	30	1	0	20	0	1	0
1000000059	66	1	1	19	0	1	0
1000000060	85	0	1	19	0	1	0
1000000061	65	0	1	19	0	0	1
1000000062	47	0	1	19	0	1	0
1000000063	35	0	0	18	0	0	1
1000000064	35	1	1	18	0	0	1
1000000065	33	0	1	18	0	0	1
1000000066	34	0	0	18	0	0	1
1000000067	21	1	1	18	0	0	1
1000000068	28	1	0	18	0	1	0
1000000069	46	0	0	20	0	0	1
1000000070	45	1	0	20	0	1	0
1000000071	30	1	0	21	0	0	1
1000000072	41	1	0	20	0	0	1
1000000073	45	0	0	20	0	1	0
1000000074	53	0	0	20	0	0	1
1000000075	38	0	0	20	0	1	0
1000000076	43	0	0	20	0	0	1
1000000077	29	1	0	19	0	1	0
1000000078	46	0	1	22	0	1	0
1000000079	17	1	0	19	0	0	1
1000000080	24	1	0	18	0	1	0
1000000081	32	1	0	18	0	1	0
1000000082	69	0	0	18	0	0	1
1000000083	27	1	0	17	0	1	0
1000000084	23	1	0	20	0	1	0
1000000085	32	1	0	20	0	0	1
1000000086	35	1	0	17	0	1	0
1000000087	15	0	0	19	0	1	0
1000000088	45	0	0	17	0	1	0
1000000089	50	0	0	17	0	1	0
1000000090	51	0	0	17	0	1	0
1000000091	48	0	0	18	0	1	0
1000000092	20	0	0	16	0	1	0
1000000093	51	1	0	16	0	1	0
1000000094	51	1	0	16	0	1	0
1000000095	21	1	0	16	0	1	0
1000000096	38	0	0	16	0	1	0
1000000097	35	0	0	17	0	1	0
1000000098	54	0	0	16	0	1	0
1000000099	24	1	0	17	0	1	0
